controller,scenario,metric,higher_is_better,value,value_std,n,run_id
FLC,combined_challenge_final_exam,arrhenius_exposure,False,4.643285087011578e-14,0.0,3,multi_seed
FLC,combined_challenge_final_exam,bandwidth_proxy_hz,True,,,0,multi_seed
FLC,combined_challenge_final_exam,coherence_lowmid,True,,,0,multi_seed
FLC,combined_challenge_final_exam,cvar_abs_err,False,1305.497610710838,0.0,3,multi_seed
FLC,combined_challenge_final_exam,effort_l1,False,0.1868233002789005,0.0,3,multi_seed
FLC,combined_challenge_final_exam,effort_l2,False,0.1292327032817001,0.0,3,multi_seed
FLC,combined_challenge_final_exam,glfi,True,0.8475489292683385,0.0,3,multi_seed
FLC,combined_challenge_final_exam,iae_abs_err,False,183.5205989467739,0.0,3,multi_seed
FLC,combined_challenge_final_exam,itae_abs_err,False,57.354813490869226,0.0,3,multi_seed
FLC,combined_challenge_final_exam,jerk_l2,False,3.5578245289440225,0.0,3,multi_seed
FLC,combined_challenge_final_exam,log_decrement,False,,,0,multi_seed
FLC,combined_challenge_final_exam,max_delta_temp_over_limit_C,False,0.0,0.0,3,multi_seed
FLC,combined_challenge_final_exam,max_freq_deviation_hz,False,1.0438995361328125,0.0,3,multi_seed
FLC,combined_challenge_final_exam,max_rocof_hz_s,False,7.744026184082024,0.0,3,multi_seed
FLC,combined_challenge_final_exam,overshoot_pct,False,1.9876298034497992,0.0,3,multi_seed
FLC,combined_challenge_final_exam,reversal_count,False,0.0,0.0,3,multi_seed
FLC,combined_challenge_final_exam,rmse_error,False,626.8418259748704,0.0,3,multi_seed
FLC,combined_challenge_final_exam,safety_margin_min,True,-0.0438995361328125,0.0,3,multi_seed
FLC,combined_challenge_final_exam,saturation_events,False,0.0,0.0,3,multi_seed
FLC,combined_challenge_final_exam,settling_time_s,False,,,0,multi_seed
FLC,combined_challenge_final_exam,spectral_error_power,False,0.0,0.0,3,multi_seed
FLC,combined_challenge_final_exam,stability_flag,True,1.0,0.0,3,multi_seed
FLC,combined_challenge_final_exam,time_above_temp_limit_s,False,0.0,0.0,3,multi_seed
FLC,combined_challenge_final_exam,time_in_saturation_s,False,0.0,0.0,3,multi_seed
FLC,combined_challenge_final_exam,time_out_of_band_s,False,0.02,0.0,3,multi_seed
FLC,combined_challenge_final_exam,total_time_unsafe_s,False,0.02,0.0,3,multi_seed
FLC,combined_challenge_final_exam,worst_tail_abs_err,False,1305.497610710838,0.0,3,multi_seed
FLC,deceptive_sensor_noise,abs_err_p50,False,368.761241243943,0.0,3,multi_seed
FLC,deceptive_sensor_noise,abs_err_p90,False,1194.174336016708,0.0,3,multi_seed
FLC,deceptive_sensor_noise,abs_err_p95,False,1321.2631820008344,0.0,3,multi_seed
FLC,deceptive_sensor_noise,arrhenius_exposure,False,6.493827832219637e-14,0.0,3,multi_seed
FLC,deceptive_sensor_noise,bandwidth_proxy_hz,True,,,0,multi_seed
FLC,deceptive_sensor_noise,coherence_lowmid,True,,,0,multi_seed
FLC,deceptive_sensor_noise,cvar_abs_err,False,1400.2826107709232,0.0,3,multi_seed
FLC,deceptive_sensor_noise,effort_l1,False,0.3208845870178344,0.0,3,multi_seed
FLC,deceptive_sensor_noise,effort_l2,False,0.278343721992757,0.0,3,multi_seed
FLC,deceptive_sensor_noise,glfi,True,0.8068386385107206,0.0,3,multi_seed
FLC,deceptive_sensor_noise,iae_abs_err,False,303.4597826428028,0.0,3,multi_seed
FLC,deceptive_sensor_noise,itae_abs_err,False,121.4430586071016,0.0,3,multi_seed
FLC,deceptive_sensor_noise,jerk_l2,False,5.513621889132659,0.0,3,multi_seed
FLC,deceptive_sensor_noise,log_decrement,False,,,0,multi_seed
FLC,deceptive_sensor_noise,max_delta_temp_over_limit_C,False,0.0,0.0,3,multi_seed
FLC,deceptive_sensor_noise,max_freq_deviation_hz,False,1.0008888244628906,0.0,3,multi_seed
FLC,deceptive_sensor_noise,max_rocof_hz_s,False,8.586692810058635,0.0,3,multi_seed
FLC,deceptive_sensor_noise,overshoot_pct,False,14.050482974534312,0.0,3,multi_seed
FLC,deceptive_sensor_noise,reversal_count,False,0.0,0.0,3,multi_seed
FLC,deceptive_sensor_noise,rmse_error,False,664.323920470011,0.0,3,multi_seed
FLC,deceptive_sensor_noise,safety_margin_min,True,-0.0008888244628906,0.0,3,multi_seed
FLC,deceptive_sensor_noise,saturation_events,False,0.0,0.0,3,multi_seed
FLC,deceptive_sensor_noise,settling_time_s,False,,,0,multi_seed
FLC,deceptive_sensor_noise,spectral_error_power,False,0.0,0.0,3,multi_seed
FLC,deceptive_sensor_noise,stability_flag,True,1.0,0.0,3,multi_seed
FLC,deceptive_sensor_noise,time_above_temp_limit_s,False,0.0,0.0,3,multi_seed
FLC,deceptive_sensor_noise,time_in_saturation_s,False,0.0,0.0,3,multi_seed
FLC,deceptive_sensor_noise,time_out_of_band_s,False,0.0199999999999999,0.0,3,multi_seed
FLC,deceptive_sensor_noise,total_time_unsafe_s,False,0.0199999999999999,0.0,3,multi_seed
FLC,deceptive_sensor_noise,worst_tail_abs_err,False,1400.2826107709232,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,abs_err_p50,False,368.761241243943,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,abs_err_p90,False,1194.174336016708,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,abs_err_p95,False,1321.2631820008344,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,arrhenius_exposure,False,6.493827832219637e-14,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,bandwidth_proxy_hz,True,,,0,multi_seed
FLC,gradual_load_increase_10pct,coherence_lowmid,True,,,0,multi_seed
FLC,gradual_load_increase_10pct,cvar_abs_err,False,1400.2826107709232,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,effort_l1,False,0.3208845870178344,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,effort_l2,False,0.278343721992757,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,glfi,True,0.8068386385107206,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,iae_abs_err,False,303.4597826428028,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,itae_abs_err,False,121.4430586071016,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,jerk_l2,False,5.513621889132659,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,log_decrement,False,,,0,multi_seed
FLC,gradual_load_increase_10pct,max_delta_temp_over_limit_C,False,0.0,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,max_freq_deviation_hz,False,1.0008888244628906,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,max_rocof_hz_s,False,8.586692810058635,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,overshoot_pct,False,14.050482974534312,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,reversal_count,False,0.0,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,rmse_error,False,664.323920470011,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,safety_margin_min,True,-0.0008888244628906,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,saturation_events,False,0.0,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,settling_time_s,False,,,0,multi_seed
FLC,gradual_load_increase_10pct,spectral_error_power,False,0.0,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,stability_flag,True,1.0,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,time_above_temp_limit_s,False,0.0,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,time_in_saturation_s,False,0.0,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,time_out_of_band_s,False,0.0199999999999999,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,total_time_unsafe_s,False,0.0199999999999999,0.0,3,multi_seed
FLC,gradual_load_increase_10pct,worst_tail_abs_err,False,1400.2826107709232,0.0,3,multi_seed
FLC,multisine_frequency_probe,abs_err_p50,False,329.47987870907855,0.0,3,multi_seed
FLC,multisine_frequency_probe,abs_err_p90,False,1116.2466860567254,0.0,3,multi_seed
FLC,multisine_frequency_probe,abs_err_p95,False,1218.8343586306387,0.0,3,multi_seed
FLC,multisine_frequency_probe,arrhenius_exposure,False,4.643285087011578e-14,0.0,3,multi_seed
FLC,multisine_frequency_probe,bandwidth_proxy_hz,True,,,0,multi_seed
FLC,multisine_frequency_probe,coherence_lowmid,True,,,0,multi_seed
FLC,multisine_frequency_probe,cvar_abs_err,False,1318.1995909207408,0.0,3,multi_seed
FLC,multisine_frequency_probe,effort_l1,False,0.1883035997199055,0.0,3,multi_seed
FLC,multisine_frequency_probe,effort_l2,False,0.1294571246584597,0.0,3,multi_seed
FLC,multisine_frequency_probe,glfi,True,0.8457604868581535,0.0,3,multi_seed
FLC,multisine_frequency_probe,iae_abs_err,False,186.19749237977464,0.0,3,multi_seed
FLC,multisine_frequency_probe,itae_abs_err,False,58.16378830348676,0.0,3,multi_seed
FLC,multisine_frequency_probe,jerk_l2,False,3.488427059472917,0.0,3,multi_seed
FLC,multisine_frequency_probe,log_decrement,False,,,0,multi_seed
FLC,multisine_frequency_probe,max_delta_temp_over_limit_C,False,0.0,0.0,3,multi_seed
FLC,multisine_frequency_probe,max_freq_deviation_hz,False,1.0626373291015625,0.0,3,multi_seed
FLC,multisine_frequency_probe,max_rocof_hz_s,False,7.818603515624993,0.0,3,multi_seed
FLC,multisine_frequency_probe,overshoot_pct,False,1.4445952388828458,0.0,3,multi_seed
FLC,multisine_frequency_probe,reversal_count,False,0.0,0.0,3,multi_seed
FLC,multisine_frequency_probe,rmse_error,False,635.0183821834972,0.0,3,multi_seed
FLC,multisine_frequency_probe,safety_margin_min,True,-0.0626373291015625,0.0,3,multi_seed
