controller,scenario,pc1,pc2,action,abs_action
FLC,combined_challenge_final_exam,1.734834875323515,0.15812412600420714,0.8,0.8
FLC,combined_challenge_final_exam,1.6189399017641017,0.15283537939448452,0.7940372668974592,0.7940372668974592
FLC,combined_challenge_final_exam,1.4638860256609805,0.15369135620871544,0.7890771881903064,0.7890771881903064
FLC,combined_challenge_final_exam,1.215936782958899,0.0723748928967029,0.6927167629238788,0.6927167629238788
FLC,combined_challenge_final_exam,0.9251615462137466,-0.005135205094140672,0.5927167629238789,0.5927167629238789
FLC,combined_challenge_final_exam,0.5940964485312586,-0.07405303265940222,0.4927167629238789,0.4927167629238789
FLC,combined_challenge_final_exam,0.22369394176570742,-0.13313103868611403,0.3927167629238789,0.3927167629238789
FLC,combined_challenge_final_exam,-0.1848630302179565,-0.1811905768247654,0.2927167629238789,0.2927167629238789
FLC,combined_challenge_final_exam,-0.6302295869909307,-0.21715990660459528,0.1927167629238789,0.1927167629238789
FLC,combined_challenge_final_exam,-1.1105263295786876,-0.23942874328171335,0.0934061192629882,0.0934061192629882
FLC,combined_challenge_final_exam,-1.589542609884885,-0.19304718935122075,0.0507123312287242,0.0507123312287242
FLC,combined_challenge_final_exam,-2.077873916665034,-0.10175624838195417,0.0395041875262693,0.0395041875262693
FLC,combined_challenge_final_exam,-2.5828147551435956,0.014970297500354527,0.0393757810986762,0.0393757810986762
FLC,combined_challenge_final_exam,-3.1082913797377736,0.14641174917616886,0.0393757810986762,0.0393757810986762
FLC,combined_challenge_final_exam,-3.650729530556584,0.29222770475608223,0.0393757810986762,0.0393757810986762
FLC,deceptive_sensor_noise,1.3218389459730064,-1.6480683652602734,0.8,0.8
FLC,deceptive_sensor_noise,1.644257812455887,-1.5845991947030296,0.9,0.9
FLC,deceptive_sensor_noise,1.8966690825961625,-1.5294729675336594,1.0,1.0
FLC,deceptive_sensor_noise,2.028647870186476,-1.5766034858535254,1.0,1.0
FLC,deceptive_sensor_noise,2.1070940638383813,-1.6267079226546357,1.0,1.0
FLC,deceptive_sensor_noise,2.1386890572780457,-1.6776515634190239,1.0,1.0
FLC,deceptive_sensor_noise,2.1287406975520877,-1.7276730015632111,1.0,1.0
FLC,deceptive_sensor_noise,2.0814602440062924,-1.775312507350763,1.0,1.0
FLC,deceptive_sensor_noise,2.0003589266531008,-1.819356220516901,1.0,1.0
FLC,deceptive_sensor_noise,1.8884203067249852,-1.8588075907466728,1.0,1.0
FLC,deceptive_sensor_noise,1.7481567938761449,-1.8928388269917618,1.0,1.0
FLC,deceptive_sensor_noise,1.5366113989733294,-1.991471893267087,0.9269577555828754,0.9269577555828754
FLC,deceptive_sensor_noise,1.2785154128632081,-2.1094410566929547,0.8269810699694725,0.8269810699694725
FLC,deceptive_sensor_noise,0.9884870890890901,-2.2198405126439713,0.7269810699694725,0.7269810699694725
FLC,deceptive_sensor_noise,0.6866982668732726,-2.289627425425141,0.6601024512120192,0.6601024512120192
FLC,deceptive_sensor_noise,0.35693432020284566,-2.3485613179739686,0.5945730936900996,0.5945730936900996
FLC,deceptive_sensor_noise,-0.007586514525108008,-2.4078171980369487,0.5181056517446362,0.5181056517446362
FLC,deceptive_sensor_noise,-0.41328960006125615,-2.4788698814594508,0.4181056517446362,0.4181056517446362
